repo	file	template_sha12	failure_mode
litert-community/Falcon-H1-0.5B-Instruct	Falcon-H1-0.5B-Instruct_int8.litertlm	b4bb2b316799	S-RAISE
litert-community/Falcon-H1-1.5B-Deep-Instruct	Falcon-H1-1.5B-Deep-Instruct_int8.litertlm	b4bb2b316799	S-RAISE
litert-community/Falcon-H1-1.5B-Instruct	Falcon-H1-1.5B-Instruct_int8.litertlm	b4bb2b316799	S-RAISE
litert-community/Falcon-H1-3B-Instruct	Falcon-H1-3B-Instruct_int8.litertlm	b4bb2b316799	S-RAISE
litert-community/Falcon-H1-Tiny-R-0.6B	Falcon-H1-Tiny-R-0.6B_int8.litertlm	1b73228ab46a	S-RAISE
litert-community/Hy-MT2-1.8B	Hy-MT2-1.8B_int8.litertlm	b7491ec0e9c8	S-LEAK
litert-community/LFM2.5-1.2B-Instruct	LFM2.5-1.2B-Instruct_int4.litertlm	f05bf4b967dc	S-LEAK
litert-community/LFM2.5-1.2B-Instruct	LFM2.5-1.2B-Instruct_int4_gpu.litertlm	f05bf4b967dc	S-LEAK
litert-community/LFM2.5-1.2B-Instruct	LFM2.5-1.2B-Instruct_int8.litertlm	f05bf4b967dc	S-LEAK
litert-community/LFM2.5-1.2B-JP	LFM2.5-1.2B-JP_int4.litertlm	f05bf4b967dc	S-LEAK
litert-community/LFM2.5-1.2B-JP	LFM2.5-1.2B-JP_int4_gpu.litertlm	f05bf4b967dc	S-LEAK
litert-community/LFM2.5-1.2B-JP	LFM2.5-1.2B-JP_int8.litertlm	f05bf4b967dc	S-LEAK
litert-community/LFM2.5-1.2B-JP	LFM2.5-1.2B-JP_int8_gpu.litertlm	f05bf4b967dc	S-LEAK
litert-community/LFM2.5-1.2B-Thinking	LFM2.5-1.2B-Thinking_int4.litertlm	f05bf4b967dc	S-LEAK
litert-community/LFM2.5-1.2B-Thinking	LFM2.5-1.2B-Thinking_int4_gpu.litertlm	f05bf4b967dc	S-LEAK
litert-community/LFM2.5-1.2B-Thinking	LFM2.5-1.2B-Thinking_int8.litertlm	f05bf4b967dc	S-LEAK
litert-community/LFM2.5-1.2B-Thinking	LFM2.5-1.2B-Thinking_int8_gpu.litertlm	f05bf4b967dc	S-LEAK
litert-community/LFM2.5-2.6B	LFM2.5-2.6B_int4.litertlm	3a8ee65d196e	S-LEAK
litert-community/LFM2.5-2.6B	LFM2.5-2.6B_int8.litertlm	3a8ee65d196e	S-LEAK
litert-community/Ministral-3-3B-Instruct-2512	Ministral-3-3B-Instruct-2512_q4_block32_ekv4096.litertlm	5cfa2f66f4aa	S-LEAK
litert-community/Ministral-3-3B-Reasoning-2512	model.litertlm	5a8fb3b0523a	S-LEAK
litert-community/Nanbeige4.1-3B	model.litertlm	096bdee49b7d	S-LEAK
litert-community/Nanbeige4.2-3B	model.litertlm	b7973c1b33f4	S-LEAK
litert-community/Nanbeige4.2-3B	model_fp32act.litertlm	b7973c1b33f4	S-LEAK
litert-community/Nemotron-3-Nano-4B	Nemotron-3-Nano-4B_int8.litertlm	ab7813c3abdd	S-LEAK
litert-community/Nemotron-H-4B-Instruct-128K	Nemotron-H-4B-Instruct-128K_int8.litertlm	1f1676933e2d	S-LEAK
litert-community/PaddleOCR-VL-1.6	PaddleOCR-VL-1.6.litertlm	e9139a664f9d	S-DROP
litert-community/Phi-4-mini-reasoning	model.litertlm	d05de611ebbf	S-LEAK
litert-community/Qwen3.5-0.8B	Qwen3.5-0.8B_int8.litertlm	b3f69d650a63	S-LEAK
litert-community/Qwen3.5-2B	Qwen3.5-2B_int8.litertlm	b3f69d650a63	S-LEAK
litert-community/Qwen3.5-4B	Qwen3.5-4B_int8.litertlm	b3f69d650a63	S-LEAK
litert-community/Qwen3.5-4B	Qwen3.5-4B_mixed_int4.litertlm	b3f69d650a63	S-LEAK
litert-community/Shieldstral-1.0-3B	Shieldstral-1.0-3B-vision_int4.litertlm	f6fd91f40fe0	S-DROP
